date,home_team,away_team,home_score,away_score,tournament
1939-01-22,Brazil,Argentina,3,2,Copa Roca
1939-01-29,Belgium,Germany,1,4,Friendly
1939-03-19,Belgium,Netherlands,5,4,Friendly
1939-03-26,Italy,Germany,3,2,Friendly
1939-04-23,Netherlands,Belgium,3,2,Friendly
1939-05-13,Italy,England,2,2,Friendly
1939-05-18,Belgium,France,1,3,Friendly
1939-11-26,Germany,Italy,5,2,Friendly
1940-01-28,France,Portugal,3,2,Friendly
1940-02-18,Brazil,Argentina,2,2,Copa Roca
1940-02-25,Brazil,Argentina,0,3,Copa Roca
1940-03-05,Argentina,Brazil,6,1,Copa Roca
1940-03-10,Argentina,Brazil,2,3,Copa Roca
1940-03-17,Argentina,Brazil,5,1,Copa Roca
1940-03-17,Belgium,Netherlands,7,1,Friendly
1940-03-24,Brazil,Uruguay,3,4,Copa Rio Branco
1940-03-31,Brazil,Uruguay,1,1,Copa Rio Branco
1940-04-21,Netherlands,Belgium,4,2,Friendly
1940-05-05,Italy,Germany,3,2,Friendly
1940-07-18,Uruguay,Argentina,3,0,Friendly
1940-08-15,Argentina,Uruguay,5,0,Friendly
1941-01-12,Portugal,Spain,2,2,Friendly
1941-02-23,Argentina,Uruguay,1,0,Copa América
1941-03-16,Spain,Portugal,5,1,Friendly
1941-06-15,Germany,Croatia,5,1,Friendly
1942-01-17,Argentina,Brazil,2,1,Copa América
1942-01-18,Croatia,Germany,0,2,Friendly
1942-01-24,Uruguay,Brazil,1,0,Copa América
1942-02-07,Uruguay,Argentina,1,0,Copa América
1942-03-15,Spain,France,4,0,Friendly
1942-04-05,Italy,Croatia,4,0,Friendly
1942-04-12,Germany,Spain,1,1,Friendly
1942-04-19,Italy,Spain,4,0,Friendly
1942-05-25,Argentina,Uruguay,4,1,Copa Newton
1942-08-25,Uruguay,Argentina,1,1,Copa Lipton
1942-11-01,Germany,Croatia,5,1,Friendly
1943-03-28,Argentina,Uruguay,3,3,Friendly
1943-04-04,Uruguay,Argentina,0,1,Friendly
1944-05-14,Brazil,Uruguay,6,1,Friendly
1944-05-17,Brazil,Uruguay,4,0,Friendly
1944-12-24,France,Belgium,3,1,Friendly
1945-01-21,Brazil,Colombia,3,0,Copa América
1945-01-28,Colombia,Uruguay,0,7,Copa América
1945-02-07,Argentina,Colombia,9,1,Copa América
1945-02-07,Brazil,Uruguay,3,0,Copa América
1945-02-15,Argentina,Brazil,3,1,Copa América
1945-02-25,Argentina,Uruguay,1,0,Copa América
1945-03-11,Portugal,Spain,2,2,Friendly
1945-05-06,Spain,Portugal,4,2,Friendly
1945-05-26,England,France,2,2,Friendly
1945-07-18,Uruguay,Argentina,2,2,Copa Lipton
1945-08-15,Argentina,Uruguay,6,2,Copa Newton
1945-12-15,Belgium,France,2,1,Friendly
1945-12-16,Brazil,Argentina,3,4,Copa Roca
1945-12-20,Brazil,Argentina,6,2,Copa Roca
1945-12-23,Brazil,Argentina,3,1,Copa Roca
1946-01-05,Uruguay,Brazil,4,3,Copa Rio Branco
